50 781
23 43 38
23 45 3
23 46 11
23 47 18
23 49 42
24 26 47
24 28 0
24 30 5
24 32 12
24 33 36
24 35 31
24 37 21
24 38 17
24 39 8
24 40 38
24 41 26
24 42 37
24 43 17
24 44 34
24 45 49
24 46 40
24 47 20
24 48 22
24 49 27
25 28 1
25 31 46
25 32 32
25 34 10
25 35 44
25 36 48
25 37 42
25 38 32
25 39 3
25 40 3
25 41 2
25 42 47
25 44 2
25 46 4
25 47 5
25 48 14
26 28 41
26 30 36
26 31 38
26 32 10
26 33 44
26 34 28
26 36 38
26 37 33
26 38 45
26 40 22
26 41 34
26 42 37
26 43 44
26 44 7
26 45 15
26 47 46
26 49 5
27 28 47
27 29 6
27 32 49
27 33 47
27 34 0
27 35 33
27 37 2
27 40 3
27 45 38
27 47 0
27 49 5
28 29 42
28 32 5
28 34 21
28 36 35
28 37 41
28 38 11
28 39 45
28 40 38
28 41 39
28 43 33
28 46 23
28 47 36
28 49 7
29 32 8
29 34 26
29 35 2
29 37 15
29 38 41
29 40 0
29 41 20
29 42 40
29 43 8
29 46 22
29 47 38
29 49 8
30 31 7
30 32 40
30 36 11
30 37 45
30 38 40
30 39 18
30 40 40
30 41 47
30 42 41
30 43 25
30 44 41
30 46 3
30 48 23
31 32 29
31 34 44
31 36 8
31 37 2
31 39 33
31 43 16
31 44 10
31 45 9
31 46 20
31 49 27
32 33 0
32 34 22
32 35 0
32 37 40
32 38 30
32 39 24
32 40 30
32 44 38
32 45 31
32 46 21
32 47 49
32 48 29
32 49 13
33 34 19
33 35 19
33 36 11
33 37 12
33 39 46
33 40 4
33 43 17
33 44 19
33 45 33
33 46 12
33 47 28
33 48 37
33 49 45
34 35 46
34 37 0
34 38 4
34 39 16
34 40 29
34 41 6
34 42 38
34 44 29
34 46 46
34 48 18
34 49 5
35 36 29
35 38 8
35 40 37
35 42 0
35 43 7
35 46 18
35 47 15
35 48 28
36 39 37
36 40 28
36 41 40
36 42 35
36 48 32
37 38 8
37 39 5
37 40 17
37 41 22
37 43 35
37 46 7
37 47 19
37 49 31
38 39 7
38 41 23
38 42 49
38 43 36
38 44 29
38 47 39
38 48 18
38 49 27
39 40 7
39 41 23
39 42 6
39 43 15
39 44 12
39 45 8
39 46 24
39 49 30
40 42 26
40 43 4
40 44 19
40 45 6
40 46 46
40 48 5
40 49 39
41 42 6
41 43 12
41 48 8
42 43 28
42 44 47
42 45 15
42 47 47
43 44 30
43 49 22
44 45 22
44 46 29
44 47 11
44 48 3
44 49 18
45 47 31
45 48 33
45 49 27
46 48 6
46 49 41
47 48 44
47 49 19
